"10,000000  0,000416","0,000000  0,000416"
"11,000000  0,786240","11,000000  0,698880"
"12,000000  0,786240","12,000000  0,694720"
"13,000000  0,782080","13,000000  0,694720"
"14,000000  0,782080","14,000000  0,694720"
"15,000000  0,786240","15,000000  0,698880"
"16,000000  0,786240","16,000000  0,694720"
"17,000000  0,786240","17,000000  0,694720"
"18,000000  0,786240","18,000000  0,698880"
"19,000000  0,786240","19,000000  0,694720"
"20,000000  0,786240","20,000000  0,698880"
"21,000000  0,786240","21,000000  0,698880"
"22,000000  0,786240","22,000000  0,698880"
"23,000000  0,786240","23,000000  0,694720"
"24,000000  0,790400","24,000000  0,694720"
"25,000000  0,773760","25,000000  0,698880"
"26,000000  0,777920","26,000000  0,698880"
"27,000000  0,790400","27,000000  0,698880"
"28,000000  0,782080","28,000000  0,690560"
"29,000000  0,786240","29,000000  0,698880"
"30,000000  0,790400","30,000000  0,698880"
"31,000000  0,786240","31,000000  0,694720"
"32,000000  0,790400","32,000000  0,698880"
"33,000000  0,782080","33,000000  0,698880"
"34,000000  0,786240","34,000000  0,698880"
"35,000000  0,790400","35,000000  0,698880"
"36,000000  0,782080","36,000000  0,694720"
"37,000000  0,790400","37,000000  0,694720"
"38,000000  0,782080","38,000000  0,698880"
"39,000000  0,786240","39,000000  0,694720"
"40,000000  0,786240","40,000000  0,698880"
"41,000000  0,786240","41,000000  0,698880"
"42,000000  0,790400","42,000000  0,694720"
"43,000000  0,782080","43,000000  0,694720"
"44,000000  0,786240","44,000000  0,698880"
"45,000000  0,786240","45,000000  0,698880"
"46,000000  0,782080","46,000000  0,698880"
"47,000000  0,790400","47,000000  0,694720"
"48,000000  0,786240","48,000000  0,694720"
"49,000000  0,790400","49,000000  0,698880"
"50,000000  0,786240","50,000000  0,694720"
"51,000000  0,183040","51,000000  0,669760"
"52,000000  0,191360","52,000000  0,669760"
"53,000000  0,183040","53,000000  0,673920"
"54,000000  0,137280","54,000000  0,673920"
"55,000000  0,183040","55,000000  0,678080"
"56,000000  0,216320","56,000000  0,673920"
"57,000000  0,166400","57,000000  0,678080"
"58,000000  0,220480","58,000000  0,665600"
"59,000000  0,174720","59,000000  0,673920"
"60,000000  0,153920","60,000000  0,673920"
"61,000000  0,166400","61,000000  0,673920"
"62,000000  0,178880","62,000000  0,682240"
"63,000000  0,187200","63,000000  0,669760"
"64,000000  0,199680","64,000000  0,673920"
"65,000000  0,203840","65,000000  0,665600"
"66,000000  0,166400","66,000000  0,669760"
"67,000000  0,153920","67,000000  0,665600"
"68,000000  0,174720","68,000000  0,665600"
"69,000000  0,178880","69,000000  0,682240"
"70,000000  0,170560","70,000000  0,673920"
"71,000000  0,158080","71,000000  0,669760"
"72,000000  0,162240","72,000000  0,661440"
"73,000000  0,199680","73,000000  0,665600"
"74,000000  0,237120","74,000000  0,665600"
"75,000000  0,166400","75,000000  0,678080"
"76,000000  0,183040","76,000000  0,678080"
"77,000000  0,178880","77,000000  0,673920"
"78,000000  0,224640","78,000000  0,678080"
"79,000000  0,178880","79,000000  0,669760"
"80,000000  0,145600","80,000000  0,673920"
"81,000000  0,187200","81,000000  0,669760"
"82,000000  0,216320","82,000000  0,665600"
"83,000000  0,166400","83,000000  0,673920"
"84,000000  0,203840","84,000000  0,673920"
"85,000000  0,203840","85,000000  0,682240"
"86,000000  0,203840","86,000000  0,673920"
"87,000000  0,124800","87,000000  0,669760"
"88,000000  0,203840","88,000000  0,661440"
"89,000000  0,174720","89,000000  0,673920"
"90,000000  0,199680","90,000000  0,669760"
"91,000000  0,191360","91,000000  0,682240"
"92,000000  0,220480","92,000000  0,673920"
"93,000000  0,183040","93,000000  0,682240"
"94,000000  0,158080","94,000000  0,661440"
"95,000000  0,208000","95,000000  0,682240"
"96,000000  0,203840","96,000000  0,673920"
"97,000000  0,191360","97,000000  0,669760"
"98,000000  0,187200","98,000000  0,682240"
"99,000000  0,195520","99,000000  0,665600"
"100,000000  0,183040","100,000000  0,682240"
"101,000000  0,153920","101,000000  0,678080"
"102,000000  0,391040","102,000000  0,690560"
"103,000000  0,790400","103,000000  0,690560"
"104,000000  0,790400","104,000000  0,698880"
"105,000000  0,782080","105,000000  0,698880"
"106,000000  0,773760","106,000000  0,694720"
"107,000000  0,786240","107,000000  0,698880"
"108,000000  0,786240","108,000000  0,698880"
"109,000000  0,786240","109,000000  0,698880"
"110,000000  0,786240","110,000000  0,694720"
"111,000000  0,790400","111,000000  0,698880"
"112,000000  0,782080","112,000000  0,694720"
"113,000000  0,786240","113,000000  0,694720"
"114,000000  0,786240","114,000000  0,698880"
"115,000000  0,790400","115,000000  0,694720"
"116,000000  0,782080","116,000000  0,698880"
"117,000000  0,786240","117,000000  0,703040"
"118,000000  0,786240","118,000000  0,694720"
"119,000000  0,786240","119,000000  0,694720"
"120,000000  0,786240","120,000000  0,694720"
"121,000000  0,777920","121,000000  0,694720"
"122,000000  0,786240","122,000000  0,694720"
"123,000000  0,786240","123,000000  0,698880"
"124,000000  0,786240","124,000000  0,694720"
"125,000000  0,786240","125,000000  0,698880"
"126,000000  0,777920","126,000000  0,698880"
"127,000000  0,782080","127,000000  0,694720"
"128,000000  0,790400","128,000000  0,694720"
"129,000000  0,786240","129,000000  0,698880"
"130,000000  0,786240","130,000000  0,698880"
"131,000000  0,786240","131,000000  0,694720"
"132,000000  0,782080","132,000000  0,694720"
"133,000000  0,782080","133,000000  0,698880"
"134,000000  0,790400","134,000000  0,694720"
"135,000000  0,786240","135,000000  0,694720"
"136,000000  0,790400","136,000000  0,698880"
"137,000000  0,782080","137,000000  0,694720"
"138,000000  0,786240","138,000000  0,694720"
"139,000000  0,786240","139,000000  0,698880"
"140,000000  0,786240","140,000000  0,694720"
"141,000000  0,782080","141,000000  0,698880"
"142,000000  0,786240","142,000000  0,694720"
"143,000000  0,790400","143,000000  0,694720"
"144,000000  0,786240","144,000000  0,698880"
"145,000000  0,786240","145,000000  0,690560"
"146,000000  0,782080","146,000000  0,703040"
"147,000000  0,790400","147,000000  0,694720"
"148,000000  0,782080","148,000000  0,698880"
"149,000000  0,786240","149,000000  0,694720"
